keys,en,fr,de,it,es,pt
TIP_PARTICLE_ANGLE_OFFSET,"An offset added to the initial angle after randomness has been applied.
Useful for when you want the randomness to go between a range other than 0 to initial rotation angle
I.e Initial rotation = 90, Randomness = 1, Offset = -45 will result in a random angle of -45 to 45 instead of 0 to 90","Un décalage ajouté à l’angle initial après que l’aléa a été appliqué.
Utile lorsque vous voulez que le caractère aléatoire soit compris entre une plage autre que 0 et l'angle de rotation initial
Ie rotation initiale = 90, Randomness = 1, Offset = -45 donnera un angle aléatoire de -45 à 45 au lieu de 0 à 90 ","Ein Offset, der dem Anfangswinkel nach Zufälligkeit hinzugefügt wurde, wurde angewendet.
Nützlich, wenn Sie möchten, dass die Zufälligkeit zwischen einem anderen Bereich als 0 und dem ursprünglichen Drehwinkel liegt
Ie Anfangsrotation = 90, Zufälligkeit = 1, Offset = -45 ergibt einen zufälligen Winkel von -45 bis 45 anstelle von 0 bis 90 ","Un offset aggiunto all'angolo iniziale dopo che è stata applicata la casualità.
Utile per quando vuoi che la casualità passi tra un range diverso da 0 all'angolo di rotazione iniziale
Cioè rotazione iniziale = 90, Randomness = 1, Offset = -45 genererà un angolo casuale da -45 a 45 invece che da 0 a 90 ","Se ha aplicado un desplazamiento al ángulo inicial después de la aleatoriedad.
Útil para cuando quiere que la aleatoriedad vaya entre un rango distinto de 0 al ángulo de rotación inicial
Es decir, rotación inicial = 90, Aleatoriedad = 1, Desplazamiento = -45 dará como resultado un ángulo aleatorio de -45 a 45 en lugar de 0 a 90 ","Um deslocamento adicionado ao ângulo inicial após a aleatoriedade foi aplicado.
Útil para quando você deseja que a aleatoriedade entre um intervalo diferente de 0 ao ângulo de rotação inicial
Ou seja, rotação inicial = 90, aleatoriedade = 1, Offset = -45 resultará em um ângulo aleatório de -45 a 45 em vez de 0 a 90 "
PROP_ANGULAR_VELOCITY_CURVE,Angular Velocity Curve,Courbe de vitesse angulaire,Winkelgeschwindigkeitskurve,Curva di velocità angolare,Curva de velocidad angular,Curva de Velocidade Angular
TIP_ANGULAR_VELOCITY_CURVE,The angular velocity added to the particle's rotation over lifetime,La vitesse angulaire ajoutée à la rotation de la particule au cours de la vie,Die Winkelgeschwindigkeit addiert sich zur Rotation der Partikel über die Lebensdauer,La velocità angolare aggiunta alla rotazione della particella nel corso della vita,La velocidad angular añadida a la rotación de la partícula durante la vida útil,A velocidade angular adicionada à rotação da partícula ao longo da vida
PROP_ANGULAR_VELOCITY_RANDOM,Angular Velocity Rand,Vitesse angulaire Rand,Winkelgeschwindigkeit Rand,Angular Velocity Rand,Angular Velocity Rand,Rand de velocidade angular
TIP_ANGULAR_VELOCITY_RANDOM,Randomness of each particle's angular velocity,Caractère aléatoire de la vitesse angulaire de chaque particule,Zufall der Winkelgeschwindigkeit jedes Partikels,Casualità della velocità angolare di ciascuna particella,Aleatoriedad de la velocidad angular de cada partícula,Aleatoriedade da velocidade angular de cada partícula
PROP_LIFETIME_ANGLE,Angle Curve,Courbe d'angle,Winkelkurve,Curva d'angolo,Curva de ángulo,Curva de ângulo
TIP_LIFETIME_ANGLE,Use this to directly set the angle of rotation over lifetime,Utilisez ceci pour définir directement l'angle de rotation sur la durée de vie,"Verwenden Sie dies, um den Drehwinkel über die Lebensdauer direkt einzustellen",Usalo per impostare direttamente l'angolo di rotazione nel corso della vita,Use esto para establecer directamente el ángulo de rotación durante la vida útil,Use isso para definir diretamente o ângulo de rotação ao longo da vida
PROP_LIFETIME_SIZE,Size Curve,Taille courbe,Größe Kurve,Curva delle dimensioni,Curva de tamaño,Curva de tamanho
TIP_LIFETIME_SIZE,Size of particle over it's lifetime,Taille de particule au cours de sa vie,Größe des Partikels über seine Lebensdauer,Dimensione della particella nel corso della sua vita,Tamaño de la partícula durante su vida útil,Tamanho da partícula durante a sua vida
PROP_SIZE_RANDOM,Size Rand,Taille Rand,Größe Rand,Dimensione Rand,Tamaño Rand,Rand de tamanho
TIP_SIZE_RANDOM,Randomness of each particle's size,Caractère aléatoire de la taille de chaque particule,Zufälligkeit der Größe jedes Partikels,Casualità delle dimensioni di ogni particella,Aleatoriedad del tamaño de cada partícula,Aleatoriedade do tamanho de cada partícula
PROP_LIFETIME_WIDTH,Width Multiplier Curve,Courbe de multiplicateur de largeur,Breite Multiplikatorkurve,Curva moltiplicatore di larghezza,Curva multiplicadora de ancho,Curva de multiplicador de largura
TIP_LIMETIME_WIDTH,Width of particle over it's lifetime (multiplier of lifetime size parameter),Largeur de particule sur toute sa durée de vie (multiplicateur du paramètre taille de durée de vie),Breite des Partikels über seine Lebensdauer (Multiplikator der Lebensdauergröße),Larghezza della particella al di sopra della sua durata (moltiplicatore del parametro delle dimensioni del ciclo di vita),Ancho de la partícula a lo largo de su vida útil (multiplicador del parámetro de tamaño de por vida),Largura da partícula acima da sua vida útil (multiplicador do parâmetro de tamanho da vida útil)
PROP_LIFETIME_HEIGHT,Height Multiplier Curve,Courbe de multiplicateur de hauteur,Höhen-Multiplikator-Kurve,Curva del moltiplicatore di altezza,Curva multiplicadora de altura,Curva de multiplicador de altura
TIP_LIFETIME_HEIGHT,Height of particle over it's lifetime (multiplier of lifetime size parameter),Hauteur de la particule sur sa durée de vie (multiplicateur du paramètre de taille de durée de vie),Höhe des Partikels über seine Lebensdauer (Multiplikator der Lebensdauergröße),Altezza della particella al di sopra della sua durata (moltiplicatore del parametro delle dimensioni del ciclo di vita),Altura de la partícula durante su vida útil (multiplicador del parámetro de tamaño de por vida),Altura da partícula durante a sua vida útil (multiplicador do parâmetro de tamanho da vida útil)
BUTTON_GENERAL,General,Général,Allgemeines,Generale,General,Geral
BUTTON_SHAPE,Shape,Forme,Gestalten,Forma,Forma,Forma
BUTTON_TEXTURE,Texture,Texture,Textur,Struttura,Textura,Textura
BUTTON_VELOCITY,Velocity,Rapidité,Geschwindigkeit,Velocità,Velocidad,Velocidade
BUTTON_COLOR,Colour,Couleur,Farbe,Colore,Color,Cor
BUTTON_SIZE,Size,Taille,Größe,Dimensione,tamaño,Tamanho
BUTTON_ANGLE,Angle,Angle,Winkel,Angolo,Ángulo,Ângulo
BUTTON_FLOW_MAP,Flow Map,Carte de flux,Flussdiagramm,Mappa del flusso,Mapa de flujo,Mapa de fluxo
BUTTON_MOTION,Motion,Mouvement,Bewegung,Movimento,Movimiento,Movimento
TIP_FILTERED,Use bilinear texture smoothing,Utilisez le lissage de texture bilinéaire,Verwenden Sie bilineare Texturglättung,Utilizzare una levigatura a struttura bilineare,Use suavizado de textura bilineal,Use suavização de textura bilinear
KEY_FILTERED,Filtered,Filtré,Gefiltert,filtrato,Filtrado,Filtrado
KEY_SELECT_TEXTURE,Select a Texture,Sélectionnez une texture,Wählen Sie eine Textur,Seleziona una Texture,Seleccione una textura,Selecione uma textura
KEY_CHOOSE_DIR,Select Base Drive/Folder...,Sélectionnez le dossier de texture ...,Wählen Sie Texturordner ...,Seleziona la cartella Texture ...,Seleccionar carpeta de textura ...,Selecione a pasta de textura ...
KEY_ENGLISH,English,Anglais,Englisch,Inglese,Inglés,Inglês
KEY_FRENCH,French,français,Französisch,francese,francés,francês
KEY_GERMAN,German,allemand,Deutsche,Tedesco,alemán,alemão
KEY_ITALIAN,Italian,italien,Italienisch,italiano,italiano,italiano
KEY_SPANISH,Spanish,Espanol,Spanisch,spagnolo,Español,espanhol
KEY_PORTUGUESE,Portuguese,Portugais,Portugiesisch,portoghese,portugués,Português
KEY_FILE_MENU,File,Fichier,Datei,File,Archivo,Arquivo
KEY_FILE_NEW_PROJECT,New Project,Nouveau projet,Neues Projekt,Nuovo progetto,Nuevo proyecto,Novo projeto
KEY_FILE_SAVE,Save,sauvegarder,sparen,Salvare,Salvar,Salve
KEY_FILE_LOAD,Load,Charge,Belastung,Caricare,Carga,Carga
KEY_FILE_IMPORT,Import,Importer,Einführen,Importare,Importar,Importar
KEY_FILE_QUIT,Quit,Quitter,Verlassen,Smettere,Dejar,Sair
KEY_LANG_MENU,Language,La langue,Sprache,linguaggio,Idioma,Língua
KEY_EMITTER_PANEL,Emitters,Émetteurs,Emitter,emettitori,Emisores,Emissores
KEY_DUPLICATE,Duplicate,Dupliquer,Duplikat,Duplicare,Duplicar,Duplicado
KEY_START_ALL,Play All,Jouer à tous,Alle wiedergeben,Giocare tutto,Jugar todo,Reproduzir tudo
KEY_EMITTER_PROPERTIES,Emitter Properties,Propriétés de l'émetteur,Emittereigenschaften,Proprietà dell'emettitore,Emisor de propiedades,Propriedades do Emissor
KEY_NAME,Name,prénom,Name,Nome,Nombre,Nome
KEY_LOCAL_PARTICLES,Local,Local,Lokal,Locale,Local,Local
KEY_LOOP,Repeat,Répéter,Wiederholen,Ripetere,Repetir,Repetir
KEY_BLEND_MODE,Blend,Mélange,Mischung,Miscela,Mezcla,Mistura
KEY_BLEND_MODE_NORMAL,Normal,Ordinaire,Normal,Normale,Normal,Normal
KEY_BLEND_MODE_ADD,Add,Ajouter,Hinzufügen,Inserisci,Añadir,Adicionar
KEY_BLEND_MODE_SUB,Subtract,Soustraire,Subtrahieren,Sottrarre,Sustraer,Subtrair
KEY_LAYER,Layer,Couche,Schicht,Strato,Capa,Camada
KEY_SOURCE_LABEL,Source,La source,Quelle,fonte,Fuente,Fonte
KEY_OUTPUT_LABEL,Output,Sortie,Ausgabe,Produzione,Salida,Saída
KEY_RENDER_TAB,Render,Rendre,Machen,rendere,Hacer,Render
KEY_EDIT_MENU,Edit,modifier,Bearbeiten,modificare,Editar,Editar
KEY_UNDO,Undo,annuler,Rückgängig machen,Disfare,Deshacer,Desfazer
KEY_REDO,Redo,Refaire,Wiederholen,Rifare,Rehacer,Refazer
KEY_VIEW_MENU,View,Vue,Aussicht,vista,Ver,Visão
VIEW_SET_BG_COLOR,Set Background Colour,Définir la couleur de fond,Hintergrundfarbe einstellen,Imposta il colore di sfondo,Establecer color de fondo,Definir cor de fundo
VIEW_SET_BG_IMAGE,Load Background Image,Charger l'image d'arrière-plan,Hintergrundbild laden,Carica l'immagine di sfondo,Cargar imagen de fondo,Carregar Imagem de Fundo
VIEW_CLEAR_BG,Clear Background,Fond clair,Hintergrund löschen,Sfondo chiaro,Fondo claro,Fundo claro
VIEW_RESET_CAMERA,Reset Camera,Réinitialiser la caméra,Kamera zurücksetzen,Ripristina fotocamera,Restablecer cámara,Redefinir Câmera
TIP_ADD_EMITTER,Create a new emitter,Créer un nouvel émetteur,Erstelle einen neuen Emitter,Crea un nuovo emettitore,Crea un nuevo emisor,Crie um novo emissor
KEY_ADD,Add,Ajouter,Hinzufügen,Inserisci,Añadir,Adicionar
TIP_REMOVE_EMITTER,Remove the selected emitter,Supprimer l'émetteur sélectionné,Entfernen Sie den ausgewählten Emitter,Rimuovi l'emettitore selezionato,Eliminar el emisor seleccionado,Remova o emissor selecionado
KEY_REMOVE,Remove,Retirer,Löschen,Rimuovere,retirar,Remover
TIP_DUPLICATE,Duplicate the selected emitter,Dupliquer l'émetteur sélectionné,Duplizieren Sie den ausgewählten Emitter,Duplica l'emettitore selezionato,Duplicar el emisor seleccionado,Duplicar o emissor selecionado
TIP_START_SINGLE,Start this emitter only,Démarrer cet émetteur seulement,Starten Sie nur diesen Sender,Avvia solo questo emettitore,Comience este emisor solamente,Inicie este emissor apenas
KEY_START_SINGLE,Play Selected,Jouer sélectionné,Ausgewählt spielen,Gioca selezionato,Play Selected,Play Selected
TIP_START_ALL,Start all emitters,Démarrer tous les émetteurs,Starten Sie alle Emitter,Avvia tutti gli emettitori,Comience todos los emisores,Comece todos os emissores
TIP_LOCKED,Lock the selected emitter so that it can't be selected or moved in the viewport,,,,,
KEY_LOCKED,Locked,,,,,
TIP_VISIBLE,Show or hide the currently selected emitter,,,,,
KEY_VISIBLE,Visible,,,,,
TIP_SEAMLESS,"Enable this for seamless looping when rendering.
For this to work correctly, make sure the Preprocess parameter is the same value as the particle lifetime.","Activer cette option pour une boucle transparente lors du rendu.
Pour que cela fonctionne correctement, assurez-vous que le paramètre Preprocess a la même valeur que la durée de vie des particules.","Aktivieren Sie dies für nahtloses Looping beim Rendern.
Damit dies ordnungsgemäß funktioniert, stellen Sie sicher, dass der Vorverarbeitungsparameter den gleichen Wert wie die Partikellebensdauer hat. ","Abilita questa opzione per il loop continuo durante il rendering.
Perché funzioni correttamente, assicurati che il parametro Preprocess abbia lo stesso valore della durata della particella. ","Habilite esto para un bucle sin interrupciones al renderizar.
Para que esto funcione correctamente, asegúrese de que el parámetro Preproceso tenga el mismo valor que la vida útil de la partícula .","Ativar isso para loop contínuo ao renderizar.
Para que isso funcione corretamente, verifique se o parâmetro Preprocess é o mesmo valor da duração da partícula. "
KEY_SEAMLESS,Seamless Loop,Boucle sans couture,Nahtlose Schleife,Loop senza soluzione di continuità,Seamless Loop,Loop sem costura
TIP_LOCAL_PARTICLES,Particles positions are local to the emitter that created them,Les positions des particules sont locales à l'émetteur qui les a créées,"Partikelpositionen sind lokal für den Emitter, der sie erzeugt hat",Le posizioni delle particelle sono locali rispetto all'emettitore che le ha create,Las posiciones de las partículas son locales para el emisor que las creó,Posições de partículas são locais para o emissor que as criou
TIP_LOOP,"If enabled, the emitter will restart when it's duration time is reached","Si activé, l'émetteur redémarrera une fois la durée atteinte","Wenn aktiviert, wird der Sender neu gestartet, wenn die Dauer erreicht ist","Se abilitato, l'emettitore si riavvierà quando viene raggiunta la durata","Si está habilitado, el emisor se reiniciará cuando se alcance el tiempo de duración","Se ativado, o emissor será reiniciado quando o tempo de duração for atingido"
TIP_BLEND_MODE,How the particles are blended together when they overlap,Comment les particules se mélangent-elles lorsqu'elles se chevauchent,"Wie werden die Partikel miteinander vermischt, wenn sie sich überlappen?",Come le particelle si mescolano quando si sovrappongono,Cómo se mezclan las partículas juntas cuando se superponen,Como as partículas são misturadas quando se sobrepõem
TIP_LAYER,The order the emitters and their particles are drawn. A higher value will be drawn on top of a lower value,L'ordre dans lequel les émetteurs et leurs particules sont dessinés. Une valeur plus élevée sera tirée sur une valeur inférieure,"Die Reihenfolge, in der die Emitter und ihre Partikel gezeichnet werden. Ein höherer Wert wird über einen niedrigeren Wert hinaus gezogen",L'ordine in cui sono disegnati gli emettitori e le loro particelle. Un valore più alto verrà disegnato sopra un valore più basso,El orden en que se emiten los emisores y sus partículas. Se dibujará un valor más alto en la parte superior de un valor inferior,A ordem em que os emissores e suas partículas são desenhados. Um valor mais alto será desenhado em cima de um valor menor
KEY_EFFECTS_TAB,Effects,Effets,Auswirkungen,effetti,Efectos,Efeitos
TIP_OUTPUT_NODE,Anything connected to this will display in the output window,Tout ce qui est connecté à ceci s'affichera dans la fenêtre de sortie,"Alles, was damit verbunden ist, wird im Ausgabefenster angezeigt",Tutto ciò che è collegato a questo verrà visualizzato nella finestra di output,Cualquier cosa conectada a esto se mostrará en la ventana de salida,Qualquer coisa conectada a isso será exibida na janela de saída
TIP_SOURCE_NODE,"This outputs the source image, connect it to an effect node to process the image,
 or connect directly to the output node for an unprocessed image","Cela génère l'image source, connectez-le à un nœud d'effet pour traiter l'image,
ou se connecter directement au noeud de sortie pour une image non traitée ","Dies gibt das Quellbild aus, verbindet es mit einem Effektknoten, um das Bild zu verarbeiten,
oder direkt mit dem Ausgabeknoten für ein unverarbeitetes Bild verbinden ","Questo produce l'immagine sorgente, collegandola a un nodo effetto per elaborare l'immagine,
oppure connettersi direttamente al nodo di output per un'immagine non elaborata ","Esto genera la imagen de origen, conéctala a un nodo de efecto para procesar la imagen,
o conectarse directamente al nodo de salida para una imagen sin procesar ","Isso gera a imagem de origem, conecte-a a um nó de efeito para processar a imagem,
ou conecte-se diretamente ao nó de saída para uma imagem não processada "
TIP_NODE_LOAD,Load a previously saved effect node configuration,,,,,
TIP_RENDER_WIDTH,The width of each frame of animation,La largeur de chaque image d'animation,Die Breite jedes Animationsrahmens,La larghezza di ogni fotogramma di animazione,El ancho de cada cuadro de animación,A largura de cada quadro de animação
RENDER_FRAME_WIDTH,Output Frame Width,Largeur du cadre de sortie,Ausgangsrahmenbreite,Larghezza frame di output,Ancho del marco de salida,Largura do quadro de saída
TIP_RENDER_HEIGHT,The height of each frame of animation,La hauteur de chaque cadre d'animation,Die Höhe jedes Frame der Animation,L'altezza di ogni fotogramma di animazione,La altura de cada cuadro de animación,A altura de cada quadro de animação
RENDER_FRAME_HEIGHT,Output Frame Height,Hauteur du cadre de sortie,Ausgabeframe Höhe,Altezza frame di output,Altura del cuadro de salida,Altura do quadro de saída
TIP_RENDER_FRAMES,The length of the animation in frames,La longueur de l'animation dans les cadres,Die Länge der Animation in Frames,La lunghezza dell'animazione nei frame,La duración de la animación en marcos,O comprimento da animação em quadros
RENDER_FRAMES,Output Frame Count,Nombre de trames de sortie,Anzahl der Ausgabe-Frames,Conteggio frame di output,Recuento de marcos de salida,Contagem de quadros de saída
TIP_RENDER_FPS,The framerate of the animation. Higher values will appear smoother,Le framerate de l'animation. Des valeurs plus élevées apparaîtront plus lisses,Die Bildfrequenz der Animation. Höhere Werte erscheinen glatter,Il framerate dell'animazione. I valori più alti appariranno più agevoli,La velocidad de fotogramas de la animación. Los valores más altos aparecerán más suaves,O framerate da animação. Valores mais altos parecerão mais suaves
RENDER_FPS,Output Frames Per Second,Images de sortie par seconde,Ausgabe Frames pro Sekunde,Frame di output al secondo,Marcos de salida por segundo,Quadros de saída por segundo
TIP_RENDER_WAIT,"Run the simulation for this many frames before capturing the output.
Useful for creating seamless looping effects that use motion like sin & cos","Exécutez la simulation pour ces nombreuses images avant de capturer la sortie.
Utile pour créer des effets de boucle transparents qui utilisent le mouvement comme sin & cos","Führen Sie die Simulation für diese vielen Frames aus, bevor Sie die Ausgabe erfassen.
Nützlich für die Erstellung von nahtlosen Looping-Effekten, die Bewegungen wie sin & cos verwenden. ","Esegui la simulazione per questo numero di fotogrammi prima di catturare l'output.
Utile per creare effetti di loop continuo che utilizzano il movimento come sin & cos ","Ejecute la simulación para esta cantidad de cuadros antes de capturar la salida.
Útil para crear efectos de bucle sin interrupciones que usan movimiento como sin & cos ","Execute a simulação para esses muitos quadros antes de capturar a saída.
Útil para criar efeitos de loop sem costura que usam movimento como sin & cos "
RENDER_WAIT,Delay Capture (in frames),Retarder la capture (en images),Verzögerungserfassung (in Bildern),Ritardo Cattura (in frame),Captura de retardo (en cuadros),Captura de atraso (em quadros)
TIP_FINAL_SIZE,The size of the exported animation sheet,La taille de la feuille d'animation exportée,Die Größe des exportierten Animationsblattes,La dimensione del foglio di animazione esportato,El tamaño de la hoja de animación exportada,O tamanho da folha de animação exportada
RENDER_TEX_SIZE,Texture Size,Taille de la texture,Texturgröße,Dimensione della trama,Tamaño de la textura,Tamanho da textura
TIP_RENDER_BUTTON,Begin rendering the animation,Commencer le rendu de l'animation,Beginnen Sie mit dem Rendern der Animation,Inizia il rendering dell'animazione,Comience a renderizar la animación,Comece a renderizar a animação
RENDER_BUTTON,Render,Rendre,Machen,rendere,Hacer,Render
KEY_PREVIEW_DIALOG,Preview,Aperçu,Vorschau,Anteprima,Avance,Visualizar
TIP_PREVIEW,Preview of the rendered animation,Aperçu de l'animation rendue,Vorschau der gerenderten Animation,Anteprima dell'animazione renderizzata,Vista previa de la animación renderizada,Visualização da animação renderizada
PLAY_ANIM,Play,Jouer,abspielen,Giocare,Jugar,Toque
STOP_ANIM,Stop,Arrêtez,Halt,Stop,Detener,Pare
TIP_SAVE_SCALE,The animation will be scaled by this value when it is saved. 100% is the default (no change),L'animation sera mise à l'échelle par cette valeur lorsqu'elle est enregistrée. 100% est la valeur par défaut (pas de changement),Die Animation wird beim Speichern um diesen Wert skaliert. 100% ist der Standardwert (keine Änderung),L'animazione verrà ridimensionata da questo valore quando viene salvata. 100% è l'impostazione predefinita (nessuna modifica),La animación se escalará según este valor cuando se guarde. 100% es el valor predeterminado (sin cambios),A animação será dimensionada por esse valor quando for salva. 100% é o padrão (sem alteração)
RENDER_SCALE,Output Scale,Echelle de sortie,Ausgabeskalierung,Scala di uscita,Escala de salida,Escala de Saída
SPRITE_SHEET,Sprite Sheet,Feuille de Sprite,Sprite Blatt,Foglio Sprite,Hoja de sprites,Folha de sprite
MULTIPLE_IMAGES,Individual Images,Images individuelles,Einzelne Bilder,Immagini individuali,Imágenes individuales,Imagens individuais
CURRENT_FRAME,Current Frame,Cadre actuel,Aktueller Frame,Frame corrente,Marco actual,Quadro atual
TIP_SAVE_BUTTON,Save the rendered animation as an image,Enregistrer l'animation rendue sous forme d'image,Speichern Sie die gerenderte Animation als Bild,Salva l'animazione renderizzata come un'immagine,Guarde la animación renderizada como una imagen,Salve a animação renderizada como uma imagem
SAVE_BUTTON,Save,sauvegarder,sparen,Salvare,Salvar,Salve 
MENU_ADD_NODE,Add Effect  ,Ajouter un effet  ,Effekt hinzufügen  ,Aggiungi effetto  ,Agregar efecto  ,Adicionar efeito  
KEY_RENDER_FRAME_LABEL,Render Frame,Cadre de rendu,Rahmen rendern,Render Frame,Render Frame,Renderizar Quadro
KEY_LEFT_CLICK_EXPLAIN,Left Click - Move Emitter or Background,Clic gauche - Déplacer l'émetteur ou l'arrière-plan,Linksklick - Emitter oder Hintergrund verschieben,Clic sinistro - Sposta emettitore o sfondo,Clic izquierdo - Mover emisor o fondo,Clique esquerdo - Mover emissor ou fundo
KEY_RIGHT_CLICK_EXPLAIN,Right Click - Pan View,Clic droit - Vue panoramique,Rechtsklick - Schwenkansicht,Clic destro - Vista panoramica,Clic derecho - Vista Panorámica,Clique com o botão direito - Pan View
KEY_WHEEL_EXPLAIN,Mouse Wheel (or +/- keys) - Zoom,Roue de la souris - Zoom,Mausrad - Zoom,Rotellina del mouse - Zoom,Rueda del mouse - Zoom,Roda do Mouse - Zoom
KEY_MIN_VALUE,Min,Min,Mindest,min,Min.,Minuto
KEY_MAX_VALUE,Max,Max,Max,Max,Max,Max
